Asia/Bangkok,Open,High,Low,Close,Volume
2026-07-24T19:44:00+07:00,4053.125,4055.405,4052.855,4054.895,22260
2026-07-24T19:45:00+07:00,4054.915,4056.145,4054.665,4055.655,19140
2026-07-24T19:46:00+07:00,4055.755,4056.215,4053.055,4053.315,17700
2026-07-24T19:47:00+07:00,4053.135,4053.145,4051.475,4052.215,20670
2026-07-24T19:48:00+07:00,4052.325,4053.645,4052.175,4053.465,21840
2026-07-24T19:49:00+07:00,4053.465,4054.015,4052.995,4054.015,12720
2026-07-24T19:50:00+07:00,4054.015,4054.585,4053.695,4053.875,14460
2026-07-24T19:51:00+07:00,4053.905,4055.295,4053.715,4054.515,20640
2026-07-24T19:52:00+07:00,4054.515,4054.885,4053.805,4054.755,18660
2026-07-24T19:53:00+07:00,4054.755,4055.545,4054.445,4054.985,15960
2026-07-24T19:54:00+07:00,4054.985,4055.145,4054.335,4055.005,9360
2026-07-24T19:55:00+07:00,4055.005,4055.265,4053.675,4053.775,12360
2026-07-24T19:56:00+07:00,4053.965,4054.095,4051.815,4051.825,17820
2026-07-24T19:57:00+07:00,4051.865,4052.625,4051.585,4052.135,18960
2026-07-24T19:58:00+07:00,4052.125,4053.355,4052.065,4053.005,18900
2026-07-24T19:59:00+07:00,4052.905,4055.985,4052.615,4055.985,19440
2026-07-24T20:00:00+07:00,4055.845,4058.285,4054.935,4055.715,40020
2026-07-24T20:01:00+07:00,4055.785,4056.155,4052.795,4052.805,30540
2026-07-24T20:02:00+07:00,4052.845,4054.475,4052.845,4053.985,27780
2026-07-24T20:03:00+07:00,4054.075,4054.455,4051.325,4053.025,29280
2026-07-24T20:04:00+07:00,4052.885,4053.545,4051.985,4052.065,27480
2026-07-24T20:05:00+07:00,4052.065,4052.925,4050.055,4050.325,28560
2026-07-24T20:06:00+07:00,4050.255,4050.355,4048.565,4048.815,32100
2026-07-24T20:07:00+07:00,4048.955,4048.955,4047.015,4047.755,30420
2026-07-24T20:08:00+07:00,4047.725,4047.725,4046.295,4047.375,30600
2026-07-24T20:09:00+07:00,4047.475,4047.585,4045.665,4046.345,28860
2026-07-24T20:10:00+07:00,4046.355,4047.075,4044.515,4047.075,31080
2026-07-24T20:11:00+07:00,4046.975,4047.025,4045.605,4046.805,28260
2026-07-24T20:12:00+07:00,4046.835,4049.335,4046.785,4049.145,32460
2026-07-24T20:13:00+07:00,4049.125,4049.605,4046.955,4047.685,25980
2026-07-24T20:14:00+07:00,4047.875,4048.405,4046.785,4048.075,24720
2026-07-24T20:15:00+07:00,4047.965,4048.325,4045.795,4046.235,26160
2026-07-24T20:16:00+07:00,4046.335,4046.915,4045.245,4045.975,26640
2026-07-24T20:17:00+07:00,4046.055,4046.675,4045.185,4046.335,22440
2026-07-24T20:18:00+07:00,4046.335,4046.365,4044.685,4044.945,19920
2026-07-24T20:19:00+07:00,4045.045,4046.085,4044.705,4046.085,22380
2026-07-24T20:20:00+07:00,4046.225,4047.445,4045.525,4046.075,28140
2026-07-24T20:21:00+07:00,4046.065,4048.045,4045.985,4047.895,27120
2026-07-24T20:22:00+07:00,4047.795,4049.285,4047.085,4047.385,23940
2026-07-24T20:23:00+07:00,4047.385,4047.905,4046.945,4047.635,16080
2026-07-24T20:24:00+07:00,4047.635,4047.805,4046.235,4046.745,25050
2026-07-24T20:25:00+07:00,4046.795,4048.175,4046.045,4046.485,23550
2026-07-24T20:26:00+07:00,4046.485,4046.945,4045.645,4046.945,18300
2026-07-24T20:27:00+07:00,4046.795,4048.355,4046.795,4048.035,22800
2026-07-24T20:28:00+07:00,4048.115,4048.385,4047.375,4047.655,19800
2026-07-24T20:29:00+07:00,4047.625,4048.185,4046.085,4046.185,25680
2026-07-24T20:30:00+07:00,4046.105,4047.475,4044.575,4046.515,49830
2026-07-24T20:31:00+07:00,4046.515,4049.955,4045.295,4049.435,45750
2026-07-24T20:32:00+07:00,4049.495,4050.215,4047.055,4047.385,45120
2026-07-24T20:33:00+07:00,4047.375,4050.055,4047.015,4049.885,40650
2026-07-24T20:34:00+07:00,4049.755,4050.065,4047.495,4049.215,38700
2026-07-24T20:35:00+07:00,4049.175,4051.995,4049.175,4051.865,45450
2026-07-24T20:36:00+07:00,4051.595,4051.925,4049.945,4051.445,42690
2026-07-24T20:37:00+07:00,4051.405,4055.285,4051.405,4054.465,47820
2026-07-24T20:38:00+07:00,4054.495,4055.945,4054.395,4055.655,37680
2026-07-24T20:39:00+07:00,4055.645,4056.705,4054.725,4055.995,38850
2026-07-24T20:40:00+07:00,4056.095,4056.455,4053.975,4054.105,48750
2026-07-24T20:41:00+07:00,4054.265,4054.985,4053.045,4053.935,46650
2026-07-24T20:42:00+07:00,4053.935,4054.035,4051.065,4052.015,28150
2026-07-24T20:43:00+07:00,4052.145,4053.045,4051.215,4051.475,9480
2026-07-24T20:44:00+07:00,4051.575,4052.145,4051.195,4051.615,8550
2026-07-24T20:45:00+07:00,4050.105,4052.605,4047.995,4052.495,19680
2026-07-24T20:46:00+07:00,4052.625,4055.615,4052.285,4055.555,19170
2026-07-24T20:47:00+07:00,4055.695,4056.285,4054.855,4055.845,32850
2026-07-24T20:48:00+07:00,4055.765,4059.665,4054.605,4059.555,47310
2026-07-24T20:49:00+07:00,4059.455,4060.805,4057.215,4058.175,44370
2026-07-24T20:50:00+07:00,4058.055,4059.635,4056.825,4058.485,48300
2026-07-24T20:51:00+07:00,4058.585,4058.885,4056.025,4056.025,46080
2026-07-24T20:52:00+07:00,4055.985,4058.165,4055.655,4058.055,42060
2026-07-24T20:53:00+07:00,4058.095,4058.585,4056.895,4057.605,37620
2026-07-24T20:54:00+07:00,4057.675,4060.935,4057.185,4059.505,44790
2026-07-24T20:55:00+07:00,4059.465,4059.595,4056.795,4057.825,40050
2026-07-24T20:56:00+07:00,4057.735,4060.275,4057.715,4059.505,42720
2026-07-24T20:57:00+07:00,4059.665,4059.695,4057.925,4059.445,22920
2026-07-24T20:58:00+07:00,4059.555,4066.505,4058.965,4066.505,20970
2026-07-24T20:59:00+07:00,4066.225,4068.365,4065.325,4066.915,21060
2026-07-24T21:00:00+07:00,4067.275,4069.825,4066.025,4069.825,31500
2026-07-24T21:01:00+07:00,4069.675,4069.675,4063.895,4065.495,23760
2026-07-24T21:02:00+07:00,4065.595,4067.645,4065.235,4066.265,33420
2026-07-24T21:03:00+07:00,4066.285,4067.565,4064.425,4064.805,37920
2026-07-24T21:04:00+07:00,4064.785,4065.185,4062.485,4062.505,40620
2026-07-24T21:05:00+07:00,4062.665,4064.585,4062.625,4063.405,49440
2026-07-24T21:06:00+07:00,4063.495,4063.835,4060.065,4060.285,46440
2026-07-24T21:07:00+07:00,4060.255,4060.405,4057.055,4058.015,51720
2026-07-24T21:08:00+07:00,4058.085,4060.345,4058.015,4058.855,44190
2026-07-24T21:09:00+07:00,4058.855,4062.465,4057.915,4062.215,45960
2026-07-24T21:10:00+07:00,4062.075,4063.675,4061.165,4061.895,42180
2026-07-24T21:11:00+07:00,4061.855,4061.925,4059.875,4061.285,34140
2026-07-24T21:12:00+07:00,4061.185,4061.725,4059.125,4059.175,35460
2026-07-24T21:13:00+07:00,4059.175,4061.405,4059.175,4060.085,35340
